Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.67      1.29     0.01   304008     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const
  0.67      1.30     0.01   304008     0.00     0.00  int const* std::__niter_base<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.67      1.31     0.01   286756     0.00     0.00  std::vector<RotateDirection, std::allocator<RotateDirection> >::begin()
  0.67      1.32     0.01   251772     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::size() const
  0.67      1.33     0.01   202014     0.00     0.00  bool __gnu_cxx::operator!=<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >(__gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > > const&, __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > > const&)
  0.67      1.34     0.01   152098     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.67      1.35     0.01   150030     0.00     0.00  std::vector<Coord, std::allocator<Coord> >::_M_check_len(unsigned long, char const*) const
  0.67      1.36     0.01    83350     0.00     0.00  operator-(Coord, Coord const&)
  0.67      1.38     0.01    50017     0.00     0.00  std::__detail::_Hash_code_base<BlockType, std::pair<BlockType const, std::vector<std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >, std::allocator<std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > > > >, std::__detail::_Select1st, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(BlockType const&, unsigned long, unsigned long) const
  0.67      1.39     0.01    33767     0.00     0.00  BitPieceInfo::getPosition() const
  0.67      1.40     0.01    17640     0.00     0.00  std::_Hashtable<Move, std::pair<Move const, int>, std::allocator<std::pair<Move const, int> >, std::__detail::_Select1st, std::equal_to<Move>, std::hash<Move>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::count(Move const&) const
  0.67      1.41     0.01    12447     0.00     0.00  std::_Hashtable<BitPieceInfo, BitPieceInfo, std::allocator<BitPieceInfo>, std::__detail::_Identity, std::equal_to<BitPieceInfo>, std::hash<BitPieceInfo>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, true, true> >::_M_rehash_aux(unsigned long, std::integral_constant<bool, true>)
  0.67      1.42     0.01     1177     0.01     0.27  AllMoveFinder<BitBoard, BitPieceInfo>::findAllMoves(BitBoard const&, BlockType)
  0.67      1.43     0.01     1177     0.01     0.26  AllMoveFinder<BitBoard, BitPieceInfo>::dp(BitPieceInfo const&)
  0.67      1.44     0.01                             BitBoard::vacant(Move const&) const
  0.33      1.44     0.01  1571041     0.00     0.00  __gnu_cxx::__aligned_buffer<BitPieceInfo>::_M_addr()
  0.33      1.45     0.01  1147024     0.00     0.00  bool __gnu_cxx::operator!=<MoveDirection*, std::vector<MoveDirection, std::allocator<MoveDirection> > >(__gnu_cxx::__normal_iterator<MoveDirection*, std::vector<MoveDirection, std::allocator<MoveDirection> > > const&, __gnu_cxx::__normal_iterator<MoveDirection*, std::vector<MoveDirection, std::allocator<MoveDirection> > > const&)
  0.33      1.45     0.01  1091034     0.00     0.00  std::_Vector_base<Coord, std::allocator<Coord> >::_M_get_Tp_allocator()
  0.33      1.46     0.01   860268     0.00     0.00  __gnu_cxx::__normal_iterator<MoveDirection*, std::vector<MoveDirection, std::allocator<MoveDirection> > >::operator++()
  0.33      1.46     0.01   617845     0.00     0.00  void std::_Destroy<Coord*, Coord>(Coord*, Coord*, std::allocator<Coord>&)
  0.33      1.47     0.01   316353     0.00     0.00  std::pair<std::__detail::_Node_iterator<BitPieceInfo, true, true>, bool>::pair<std::__detail::_Node_iterator<BitPieceInfo, true, true>, bool, true>(std::__detail::_Node_iterator<BitPieceInfo, true, true>&&, bool&&)
