RunnerSettings(num_particles=99, num_neighbours=99, iterations=1200, dimensions=20, local=False, velocity_clamp=(-5, 5), optimizer_options={})
FEATURE EVALUATION CONFIG
========
averageAmount: 50
maxDropRem: 2
numGames: -1
numLines: 230
seed: -1
startingLevel: 19
startingLines: 130
========
MoveEvaluatorGroup used: BothLinear

iteration,time_taken,train_score,eval_score,vector
16,7.217,357741.000,0.000,[-7.543587973959923 4.888743342755446 4.604625834162473 -2.903426350348225 1.2600851345780895 2.8621722552843467 1.145771669731312 -0.2569194165786368 2.431456193147883 6.327684105012202 5.370259405500578 -2.684894178158233 -5.877660490056726 -7.775813327153039 -4.309324981460726 0.6091806226408139 1.4959126657520563 3.8861944652925153 4.065064561526291 2.3400454903675056]
17,8.516,357741.000,0.000,[-7.543587973959923 4.888743342755446 4.604625834162473 -2.903426350348225 1.2600851345780895 2.8621722552843467 1.145771669731312 -0.2569194165786368 2.431456193147883 6.327684105012202 5.370259405500578 -2.684894178158233 -5.877660490056726 -7.775813327153039 -4.309324981460726 0.6091806226408139 1.4959126657520563 3.8861944652925153 4.065064561526291 2.3400454903675056]
18,7.448,357741.000,0.000,[-7.543587973959923 4.888743342755446 4.604625834162473 -2.903426350348225 1.2600851345780895 2.8621722552843467 1.145771669731312 -0.2569194165786368 2.431456193147883 6.327684105012202 5.370259405500578 -2.684894178158233 -5.877660490056726 -7.775813327153039 -4.309324981460726 0.6091806226408139 1.4959126657520563 3.8861944652925153 4.065064561526291 2.3400454903675056]
19,7.275,357741.000,0.000,[-7.543587973959923 4.888743342755446 4.604625834162473 -2.903426350348225 1.2600851345780895 2.8621722552843467 1.145771669731312 -0.2569194165786368 2.431456193147883 6.327684105012202 5.370259405500578 -2.684894178158233 -5.877660490056726 -7.775813327153039 -4.309324981460726 0.6091806226408139 1.4959126657520563 3.8861944652925153 4.065064561526291 2.3400454903675056]
20,7.510,357741.000,0.000,[-7.543587973959923 4.888743342755446 4.604625834162473 -2.903426350348225 1.2600851345780895 2.8621722552843467 1.145771669731312 -0.2569194165786368 2.431456193147883 6.327684105012202 5.370259405500578 -2.684894178158233 -5.877660490056726 -7.775813327153039 -4.309324981460726 0.6091806226408139 1.4959126657520563 3.8861944652925153 4.065064561526291 2.3400454903675056]
21,8.309,357741.000,0.000,[-7.543587973959923 4.888743342755446 4.604625834162473 -2.903426350348225 1.2600851345780895 2.8621722552843467 1.145771669731312 -0.2569194165786368 2.431456193147883 6.327684105012202 5.370259405500578 -2.684894178158233 -5.877660490056726 -7.775813327153039 -4.309324981460726 0.6091806226408139 1.4959126657520563 3.8861944652925153 4.065064561526291 2.3400454903675056]
22,7.380,357741.000,0.000,[-7.543587973959923 4.888743342755446 4.604625834162473 -2.903426350348225 1.2600851345780895 2.8621722552843467 1.145771669731312 -0.2569194165786368 2.431456193147883 6.327684105012202 5.370259405500578 -2.684894178158233 -5.877660490056726 -7.775813327153039 -4.309324981460726 0.6091806226408139 1.4959126657520563 3.8861944652925153 4.065064561526291 2.3400454903675056]
23,7.023,357741.000,0.000,[-7.543587973959923 4.888743342755446 4.604625834162473 -2.903426350348225 1.2600851345780895 2.8621722552843467 1.145771669731312 -0.2569194165786368 2.431456193147883 6.327684105012202 5.370259405500578 -2.684894178158233 -5.877660490056726 -7.775813327153039 -4.309324981460726 0.6091806226408139 1.4959126657520563 3.8861944652925153 4.065064561526291 2.3400454903675056]
24,7.642,357741.000,0.000,[-7.543587973959923 4.888743342755446 4.604625834162473 -2.903426350348225 1.2600851345780895 2.8621722552843467 1.145771669731312 -0.2569194165786368 2.431456193147883 6.327684105012202 5.370259405500578 -2.684894178158233 -5.877660490056726 -7.775813327153039 -4.309324981460726 0.6091806226408139 1.4959126657520563 3.8861944652925153 4.065064561526291 2.3400454903675056]
25,8.037,357741.000,0.000,[-7.543587973959923 4.888743342755446 4.604625834162473 -2.903426350348225 1.2600851345780895 2.8621722552843467 1.145771669731312 -0.2569194165786368 2.431456193147883 6.327684105012202 5.370259405500578 -2.684894178158233 -5.877660490056726 -7.775813327153039 -4.309324981460726 0.6091806226408139 1.4959126657520563 3.8861944652925153 4.065064561526291 2.3400454903675056]
